"lat"	"lon"	"name"	"free_bikes"	"empty_slots"	"pct_free"	"pct_free_bikes"	"pct_empty_slots"	"pick_availability"	"drop_availability"
48.8645823774649	2.34628211166702	"02002 - MONTORGUEIL ETIENNE MARCEL"	18	10	0.642857142857143	0.642857142857143	0.357142857142857	"green"	"green"
48.875377647487	2.29655534247627	"08056 - WAGRAM"	0	11	0	0	1	"red"	"green"
48.8469867528133	2.34649965376298	"05032 - PANTHEON CARMES"	3	34	0.0810810810810811	0.0810810810810811	0.918918918918919	"red"	"green"
48.8816744459654	2.27117749892451	"22010 - DE GAULLE 4 (NEUILLY)"	21	6	0.777777777777778	0.777777777777778	0.222222222222222	"green"	"yellow"
48.85940308194	2.2765220890277	"16111 - HELIE"	3	29	0.09375	0.09375	0.90625	"red"	"green"
48.8194013048636	2.34337661053354	"14014 - STADE CHARLETY"	2	58	0.0333333333333333	0.0333333333333333	0.966666666666667	"red"	"green"
48.8347058597417	2.39711155264951	"12035 - MADAGASCAR"	5	28	0.151515151515152	0.151515151515152	0.848484848484849	"yellow"	"green"
48.9063833980958	2.3895475019254	"33005 - REPUBLIQUE 2 (AUBERVILLIERS)"	14	16	0.466666666666667	0.466666666666667	0.533333333333333	"green"	"green"
48.8504400134045	2.37890136621104	"12005 - CROZATIER"	14	16	0.466666666666667	0.466666666666667	0.533333333333333	"green"	"green"
48.8499211018621	2.29466057588438	"15106 - GRENELLE VIOLET (PROP3)"	57	10	0.850746268656716	0.850746268656716	0.149253731343284	"green"	"yellow"
48.8835647448546	2.33341862941046	"18043 - BLANCHE"	0	20	0	0	1	"red"	"green"
48.8836882175122	2.31328440539719	"17015 - PLACE DE LEVIS"	2	46	0.0416666666666667	0.0416666666666667	0.958333333333333	"red"	"green"
48.8322724586395	2.36741586675015	"13043 - DUNOIS CLISSON"	10	41	0.196078431372549	0.196078431372549	0.803921568627451	"yellow"	"green"
48.864910448589	2.29251910100415	"16007 - LONGCHAMP"	11	28	0.282051282051282	0.282051282051282	0.717948717948718	"yellow"	"green"
48.8581690434843	2.30052833004389	"07024 - AVENUE RAPP"	31	0	1	1	0	"green"	"red"
